,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
6065816,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73367264,30.28134774,49.967646714936315,1
6065817,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73365877,30.28136024,45.33214411999874,1
6065818,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73367817,30.28137736,39.36246452132418,1
6065819,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73362949,30.28144122,18.962328513798493,1
6065820,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73362094,30.28146358,15.257510700948561,1
6065840,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73367063,30.28136477,43.72846284392304,1
6086060,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73366692,30.281357300000003,43.356950500514316,1
6086061,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.7336246,30.28145614,35.54966772744971,1
6086101,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.7336949,30.2813478,42.85274381949826,1
6086102,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73367264,30.28134774,45.55237031524335,1
6086103,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73365877,30.28136024,43.8367779901865,1
6086104,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73367817,30.28137736,35.26312709783754,1
6086105,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73362949,30.28144122,34.62969306146402,1
6086106,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73362094,30.28146358,36.7147588520492,1
6086126,Carya illinoinensis,Pecan,-97.73373738,30.28145939,Morus alba,White mulberry,-97.73367063,30.28136477,40.41954617138654,1
6106347,Carya illinoinensis,Pecan,-97.73369077,30.28153865,Morus alba,White mulberry,-97.7336246,30.28145614,36.61430480790994,1
6106391,Carya illinoinensis,Pecan,-97.73369077,30.28153865,Morus alba,White mulberry,-97.73362949,30.28144122,40.44818265785536,1
6106392,Carya illinoinensis,Pecan,-97.73369077,30.28153865,Morus alba,White mulberry,-97.73362094,30.28146358,35.1280100531088,1
6126633,Carya illinoinensis,Pecan,-97.73368353,30.28154359,Morus alba,White mulberry,-97.7336246,30.28145614,36.91147420022094,1
6126677,Carya illinoinensis,Pecan,-97.73368353,30.28154359,Morus alba,White mulberry,-97.73362949,30.28144122,41.04328282797138,1
6126678,Carya illinoinensis,Pecan,-97.73368353,30.28154359,Morus alba,White mulberry,-97.73362094,30.28146358,35.22476283776698,1
6146919,Carya illinoinensis,Pecan,-97.73370651,30.28154931,Morus alba,White mulberry,-97.7336246,30.28145614,42.675216117937374,1
6146963,Carya illinoinensis,Pecan,-97.73370651,30.28154931,Morus alba,White mulberry,-97.73362949,30.28144122,46.29988008801009,1
6146964,Carya illinoinensis,Pecan,-97.73370651,30.28154931,Morus alba,White mulberry,-97.73362094,30.28146358,41.29005119925158,1
